name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
David,PA,CH,78793,MPDA,8.4,-82.4167,29.0,America/Panama,1935-01-01,2025-04-23,1942-04-07,1945-09-30,1942-01-01,1945-01-01,3581278.5243328107
Pasco,US,WA,,KPSC,46.2647,-119.119,125.0,America/Los_Angeles,1973-01-01,2025-04-23,1998-02-01,2022-04-24,2005-01-01,2021-01-01,3588548.689294696
Salmon Arm CS,CA,BC,71218,CWSL,50.7,-119.29,350.0,America/Vancouver,1995-04-23,2025-04-23,1991-01-01,2024-04-28,1991-01-01,2022-01-01,3589139.619416335
Santiago,PA,VG,78795,MPSA,8.0833,-80.95,83.0,America/Panama,1974-01-01,2025-02-13,,,,,3589710.922406607
Kelowna,CA,BC,71203,CYLW,49.96,-119.38,433.0,America/Vancouver,1993-04-08,2025-04-23,1994-03-18,2024-04-28,2005-01-01,2022-01-01,3593464.919076356
Tonopah / Valley View,US,NV,72485,KTPH,38.0602,-117.0868,1655.0,America/Los_Angeles,1942-10-01,2025-04-23,1942-10-02,2022-04-24,1943-01-01,2022-01-01,3594655.388159937
Yuma / Desert Royal Mobile Park,US,AZ,,KNYL,32.6566,-114.606,65.0,America/Phoenix,1988-01-01,2025-04-23,1988-01-01,2022-04-24,1988-01-01,2020-01-01,3595082.663546792
High Level Airport,CA,AB,71066,CYOJ,58.62,-117.16,338.0,America/Edmonton,1977-07-01,2025-04-23,1977-07-01,2025-04-12,1977-01-01,2022-01-01,3595989.6872958373
Moses Lake / Moses Lake North,US,WA,,KMWH,47.2086,-119.3191,362.0,America/Los_Angeles,1943-06-10,2025-04-23,1943-06-11,2022-04-24,1943-01-01,2022-01-01,3596128.765777766
Osoyoos CS,CA,BC,71215,CWYY,49.03,-119.44,283.0,America/Vancouver,1995-04-23,2025-04-23,1990-08-01,2024-04-28,1990-01-01,2022-01-01,3597695.481634327
Blue River CS,CA,BC,71883,CYCP,52.13,-119.29,683.0,America/Vancouver,1977-07-01,2025-04-23,1969-12-01,2024-04-28,1969-01-01,2022-01-01,3597976.845469832
Richland,US,WA,,KRLD,46.3056,-119.3042,120.0,America/Los_Angeles,1981-02-03,2025-04-23,2015-10-21,2022-04-24,2016-01-01,2022-01-01,3602342.193855516
Hay River Airport,CA,NT,71935,CYHY,60.84,-115.78,165.0,America/Yellowknife,1934-01-01,2025-04-23,1943-03-01,2025-04-20,1943-01-01,2022-01-01,3602984.8384963023
Penticton Airport,CA,BC,71889,CYYF,49.46,-119.6,344.0,America/Vancouver,1955-07-02,2025-04-23,1977-07-02,2024-04-28,2006-01-01,2022-01-01,3608958.2663454628
Yellowknife Airport,CA,NT,71936,CYZF,62.46,-114.44,206.0,America/Yellowknife,1942-07-01,2025-04-23,1942-07-01,2022-12-11,1942-01-01,2022-01-01,3609378.1644732505
Pendleton Municipal Airport,US,OR,72688,KPDT,46.1667,-119.3833,455.0,America/Los_Angeles,1942-01-01,2025-04-23,1928-01-01,2025-04-20,1928-01-01,2022-01-01,3609757.787546041
Ephrata / Lakeview,US,WA,72790,KEPH,47.3081,-119.5169,389.0,America/Los_Angeles,1942-01-01,2025-04-23,1942-01-02,2025-04-20,1942-01-01,2022-01-01,3610357.676560856
Burns Municipal Airport,US,OR,72683,KBNO,43.6,-118.95,1263.0,America/Los_Angeles,1973-01-01,2025-04-23,1973-01-01,2025-04-20,1973-01-01,2022-01-01,3610889.440903603
Grande Prairie Airport,CA,AB,71940,CYQU,55.18,-118.88,669.0,America/Edmonton,1955-07-02,2025-04-23,1942-04-01,2022-12-11,1942-01-01,2022-01-01,3611833.0492855636
Sto. Domingo,VE,S,80475,SVSO,7.5833,-72.0667,327.0,America/Caracas,1982-07-03,2018-09-12,1982-08-02,2015-11-07,1983-01-01,2014-01-01,3612252.979498671
Summerland CS,CA,BC,71768,CWUS,49.56,-119.65,454.0,America/Vancouver,1995-04-23,2025-04-23,1990-06-01,2024-04-28,1990-01-01,2022-01-01,3612552.153857997
Nuussuaq,GL,,04214,,70.6833,-54.6167,27.0,America/Godthab,1982-10-01,2025-03-24,2015-10-24,2022-03-20,,,3613571.1231390615
"Manzanillo, Col.",MX,COL,76654,,19.05,-104.3333,3.0,America/Mexico_City,1973-01-02,2025-02-12,,,1949-01-01,2021-01-01,3626195.8238314246
Manzanillo / La Guayabilla,MX,COL,76653,MMZO,19.1448,-104.5584,8.0,America/Mexico_City,1978-04-20,2025-04-23,,,,,3635049.655250909
Lower Carp Lake,CA,NT,71680,CXLC,63.6,-113.86,373.0,America/Yellowknife,2001-09-16,2024-09-28,1998-06-22,2023-10-16,1999-01-01,2018-01-01,3639645.56577535
Pond Inlet Airport,CA,NU,71095,CYIO,72.69,-77.97,62.0,America/Iqaluit,1934-01-01,2025-04-23,1975-01-01,2022-12-11,1975-01-01,2022-01-01,3643728.5544869667
Beaverlodge RCS,CA,AB,71230,CWBM,55.2,-119.4,745.0,America/Edmonton,1996-08-16,2025-02-04,2001-01-01,2024-04-28,2001-01-01,2022-01-01,3644770.2993019824
San Fernando De Apure,VE,J,80450,SVSR,7.9,-67.4167,47.0,America/Caracas,1973-02-07,2021-07-04,1961-01-01,2019-12-21,1950-01-01,2014-01-01,3646287.492973096
Mexicali / Islas Agrarias Grupo B,MX,BCN,76005,MMML,32.6306,-115.2415,22.0,America/Tijuana,1990-03-14,2025-04-23,2020-03-10,2020-03-12,,,3650449.902637135
Twentynine Palms / Sunfair Heights,US,CA,69015,KNXP,34.2962,-116.1622,625.0,America/Los_Angeles,1990-01-02,2025-04-23,1945-05-01,2022-04-24,1945-01-01,2021-01-01,3655676.157384034
Ejido Nueva Leon / Nuevo León,MX,BCN,76040,,32.4,-115.1833,11.0,America/Tijuana,1991-11-14,2025-02-12,1991-11-16,2025-04-20,1992-01-01,2021-01-01,3656170.4872141248
Bucaramanga / Palonegro,CO,SAN,80094,SKBG,7.1,-73.2,1189.0,America/Bogota,1975-04-01,2025-04-23,1975-04-05,2025-04-01,1975-01-01,2021-01-01,3658030.7316887425
Lovelock / Granite Point,US,NV,72580,KLOL,40.0664,-118.5652,1191.0,America/Los_Angeles,1977-01-01,2025-04-23,1977-02-26,2025-04-20,1981-01-01,2022-01-01,3658335.473216081
Malaga,US,WA,72782,KEAT,47.4,-120.2,379.0,America/Los_Angeles,2000-01-01,2025-04-23,2000-01-03,2022-04-22,2001-01-01,2022-01-01,3661067.6643202477
Guasdualito,VE,C,80448,SVGD,7.2333,-70.8,130.0,America/Caracas,1974-03-01,2024-12-04,1974-03-02,2023-08-01,1978-01-01,2020-01-01,3663910.3417890966
Otu / El Rhin,CO,ANT,80089,SKOT,7.0,-74.7167,630.0,America/Bogota,1950-01-01,2024-09-12,,,,,3664151.7561457055
Barrancabermeja / Yariguies,CO,SAN,80091,SKEJ,7.0167,-73.8,126.0,America/Bogota,1950-01-01,2025-04-23,1964-09-16,2025-03-29,1964-01-01,2021-01-01,3664563.859599853
Kamloops Airport,CA,BC,71887,CYKA,50.7,-120.45,345.0,America/Vancouver,1955-07-02,2025-04-23,1951-01-01,2025-04-20,1951-01-01,2022-01-01,3670804.599725529
Princeton CS,CA,BC,71032,CWPR,49.47,-120.51,696.0,America/Vancouver,1992-12-16,2025-04-23,1992-11-01,2024-04-28,1992-01-01,2022-01-01,3674709.272202252
Princeton Airport,CA,BC,,CYDC,49.4667,-120.5167,700.0,America/Vancouver,1978-10-12,2025-04-23,2011-12-14,2024-04-28,2012-01-01,2022-01-01,3675198.6058134157
"El Centro, Naval Air Facility",US,CA,72281,KNJK,32.8167,-115.65,-13.0,America/Los_Angeles,1984-04-13,2025-04-23,1945-02-01,2025-04-19,1945-01-01,2022-01-01,3676746.9550934504
"Loreto, B. C. S.",MX,BCS,76305,MMLT,26.0167,-111.35,15.0,America/Hermosillo,1980-10-18,2025-04-23,,,2002-01-01,2021-01-01,3680427.623731268
Arauca / Santiago Perez,CO,ARA,80099,SKUC,7.0667,-70.7333,128.0,America/Bogota,1950-01-01,2025-04-23,1964-09-17,2025-04-01,1968-01-01,2021-01-01,3683121.62562898
Thermal,US,CA,,KTRM,33.6267,-116.1597,-35.0,America/Los_Angeles,1943-07-12,2025-04-23,1943-07-13,2022-04-24,1943-01-01,2022-01-01,3684072.988728786
Daggett / Minneola,US,CA,,KDAG,34.8537,-116.7867,588.0,America/Los_Angeles,1949-01-01,2025-04-23,1949-01-01,2022-04-24,1949-01-01,2021-01-01,3685805.2491644914
Fallon / Fallon Station,US,NV,,KNFL,39.4178,-118.6986,1199.0,America/Los_Angeles,1973-01-01,2025-04-23,1984-07-20,2022-04-24,1990-01-01,2021-01-01,3687627.7092490485
Ellensburg,US,WA,,KELN,47.033,-120.5307,538.0,America/Los_Angeles,1988-01-06,2025-04-23,1998-10-07,2022-04-24,2005-01-01,2021-01-01,3688945.7234821334
Cambridge Bay Airport,CA,NU,71925,CYCB,69.11,-105.14,31.0,America/Cambridge_Bay,1934-10-01,2025-04-23,1929-01-01,2025-04-15,1929-01-01,2022-01-01,3692283.2267463454
Merritt,CA,BC,71557,CWAW,50.11,-120.78,591.0,America/Vancouver,1985-01-14,2022-12-14,2005-01-01,2024-04-28,2006-01-01,2022-01-01,3693566.649912975
Yakima Air Terminal,US,WA,72781,KYKM,46.5667,-120.5333,334.0,America/Los_Angeles,1973-01-01,2025-04-23,1946-09-06,2025-04-20,1946-01-01,2022-01-01,3693585.7328304304
"San Felipe, B. C. N.",MX,BCN,76055,MMSF,31.0333,-114.85,440.0,America/Tijuana,1981-06-01,2025-02-12,1981-06-02,2025-04-18,1993-01-01,1998-01-01,3693762.942424907
Tasiilaq,GL,SE,04360,BGAM,65.6,-37.6333,50.0,America/Godthab,1936-05-01,2025-03-24,1894-10-15,2025-04-09,1894-01-01,2021-01-01,3701842.7871309295
Hawthorne / Babbitt,US,NV,,KHTH,38.5444,-118.6343,1289.0,America/Los_Angeles,1983-11-03,2025-04-23,2017-03-09,2022-04-24,2017-01-01,2022-01-01,3708723.674060173
Fort Providence,CA,NT,71087,CWID,61.32,-117.6,162.0,America/Yellowknife,1993-06-15,2025-04-23,1993-07-03,2024-04-28,1995-01-01,2022-01-01,3713391.7682070513
"La Paz, B. C. S.",MX,BCS,76405,,24.2667,-110.4167,18.0,America/Mazatlan,1952-08-07,2025-02-12,,,1949-01-01,2021-01-01,3716198.040047806
Ciudad Bolivar,VE,B,80444,SVCB,8.15,-63.55,43.0,America/Caracas,1973-02-12,2024-07-29,1973-05-11,2023-10-05,1950-01-01,2014-01-01,3719786.4770022933
Kulusuk Lufthavn,GL,,04361,BGKK,65.5833,-37.15,35.0,America/Godthab,1943-10-09,2025-04-23,1945-04-19,2022-04-23,1945-01-01,2014-01-01,3719835.576702087
La Paz / Chimetlán,MX,BCS,,MMLP,24.0723,-110.3626,21.0,America/Mazatlan,1975-06-18,2025-04-23,,,,,3724712.1641508094
Bishop Airport,US,CA,72480,KBIH,37.3667,-118.3667,1256.0,America/Los_Angeles,1943-01-16,2025-04-23,1895-01-04,2025-04-20,1895-01-01,2022-01-01,3725146.574604544
Flores Acores,PT,AZ,08501,LPFL,39.45,-31.1333,28.0,Atlantic/Azores,1978-12-01,2025-04-23,1978-12-01,2025-04-09,1980-01-01,2022-01-01,3728791.9254310117
Indian River,CA,ON,,CWIE,64.3833,-115.0167,478.0,America/Yellowknife,1993-07-01,2025-02-04,1993-08-21,2024-04-28,2008-01-01,2022-01-01,3729825.4085988314
Ciudad Guayana / Puerto Ordaz,VE,F,,SVPR,8.3,-62.7333,144.0,America/Caracas,1990-04-24,2024-09-13,,,,,3729838.477089546
Naws China Lake,US,CA,74612,KNID,35.6833,-117.7,696.0,America/Los_Angeles,1973-01-01,2025-04-23,1944-02-01,2025-04-18,1944-01-01,2022-01-01,3730442.054454832
Apple Valley / Bell Mountain,US,CA,,KAPV,34.5753,-117.1862,933.0,America/Los_Angeles,1973-06-22,2025-04-23,,,,,3731153.9129791623
San Jose Del Cabo / Santa Anita,MX,BCS,,MMSD,23.1518,-109.7207,109.0,America/Mazatlan,1991-03-21,2025-04-23,,,,,3735158.5237795343
Clinton RCS,CA,BC,71474,CWCL,51.14,-121.5,1059.0,America/Vancouver,1981-06-01,2022-12-15,1973-01-01,2022-12-12,1973-01-01,2022-01-01,3745288.078577059
Hope Airport,CA,BC,71114,CYHE,49.37,-121.49,39.0,America/Vancouver,1955-07-02,2025-04-23,1990-03-01,2022-12-11,1990-01-01,2022-01-01,3745820.968571977
Fort St. John Airport,CA,BC,71943,CYXJ,56.24,-120.74,695.0,America/Dawson_Creek,1942-07-01,2025-04-23,1942-03-01,2022-12-11,1942-01-01,2022-01-01,3745985.254667217
"Lytton, BC",CA,BC,71891,CWLY,50.2333,-121.5833,229.0,America/Vancouver,1955-07-02,2025-04-23,1990-03-01,2022-04-25,1990-01-01,2022-01-01,3750716.903499501
Medellin / Olaya Herrera,CO,ANT,80110,SKMD,6.2167,-75.6,1490.0,America/Bogota,1949-01-05,2025-04-22,1958-01-02,2023-10-06,1961-01-01,2021-01-01,3751218.034515176
The Dalles / Dallesport,US,OR,,KDLS,45.6186,-121.1673,75.0,America/Los_Angeles,1973-01-01,2025-04-23,1973-01-01,2022-04-24,2001-01-01,2022-01-01,3753539.6370994723
San Bernardino / North Norton,US,CA,,KSBD,34.0954,-117.2349,353.0,America/Los_Angeles,1943-01-06,2025-04-23,1943-03-17,2022-04-24,1943-01-01,2022-01-01,3755424.5865801834
Rionegro / J. M. Cordova,CO,ANT,80112,SKRG,6.1333,-75.4333,2140.0,America/Bogota,1985-12-01,2025-04-23,1985-12-01,2025-03-31,1985-01-01,2022-01-01,3760337.6083081122
Cape Peel West,CA,NU,71064,CWPX,69.04,-107.82,165.0,America/Cambridge_Bay,1998-12-24,2023-01-03,1993-01-24,2023-01-01,1995-01-01,2022-01-01,3763655.753041931
Riverside / March Air Force Base,US,CA,72286,KRIV,33.9,-117.25,469.0,America/Los_Angeles,1933-01-01,2025-04-23,1936-02-16,2025-04-20,1936-01-01,2022-01-01,3765070.5258565466
Agassiz RCS,CA,BC,71113,CWZA,49.24,-121.76,19.0,America/Vancouver,1977-07-04,2025-04-23,1988-11-01,2024-04-28,1988-01-01,2022-01-01,3765860.7385504628
Whati,CA,NT,71163,CWMT,63.13,-117.24,271.0,America/Edmonton,1994-03-07,2025-04-23,1974-05-28,2024-04-28,1974-01-01,2022-01-01,3769717.0524870637
"Ciudad Constitucion, B. C. S.",MX,BCS,76402,MMDA,25.0,-111.6667,48.0,America/Hermosillo,1980-10-11,2025-02-12,,,1995-01-01,2021-01-01,3770804.585790957
Redmond,US,OR,,KRDM,44.2541,-121.15,939.0,America/Los_Angeles,1942-01-01,2025-04-23,1942-01-02,2022-04-24,1943-01-01,2021-01-01,3773531.457184582
Reno/Tahoe International  Airport,US,NV,72488,KRNO,39.4833,-119.7667,1345.0,America/Los_Angeles,1943-01-05,2025-04-23,1937-03-01,2025-04-20,1937-01-01,2022-01-01,3774166.7758307895
Edwards Air Force Base,US,CA,72381,KEDW,34.9167,-117.9,702.0,America/Los_Angeles,1941-12-01,2025-04-23,1941-12-21,2022-04-24,1942-01-01,2020-01-01,3777788.6119782375
Hood Canal Bridge / Rockford,US,OR,69033,K4S2,45.6726,-121.5365,195.0,America/Los_Angeles,1991-03-07,2025-04-23,,,,,3781269.2097469917
Williams Lake Airport,CA,BC,71104,CYWL,52.18,-122.05,940.0,America/Vancouver,1944-07-01,2025-04-23,1960-12-05,2022-12-11,1961-01-01,2022-01-01,3786273.4418059164
Chetwynd,CA,BC,,CYCQ,55.6872,-121.6267,610.0,America/Dawson_Creek,1999-01-14,2025-04-23,2020-01-21,2022-04-18,,,3791555.932842243
Oceanside / Chappo,US,CA,,KNFG,33.3011,-117.3551,24.0,America/Los_Angeles,1973-01-02,2025-04-23,1977-08-23,2022-04-24,1987-01-01,2020-01-01,3800231.7092781346
Sunriver,US,OR,,KS21,43.8763,-121.4531,1269.0,America/Los_Angeles,1980-05-14,2025-04-23,2020-01-14,2022-04-24,2020-01-01,2022-01-01,3804312.0167690585
Palmdale Prod Flight Plant,US,CA,72382,KPMD,34.6333,-118.0833,775.0,America/Los_Angeles,1973-01-01,2025-04-23,1934-01-02,2025-04-20,1934-01-01,2022-01-01,3804971.395394897
Quibdo / El Carano,CO,CHO,80144,SKUI,5.7167,-76.6167,53.0,America/Bogota,1949-01-03,2025-04-23,1963-01-21,2025-04-20,1968-01-01,2022-01-01,3809322.0074163335
Abbotsford Airport,CA,BC,71108,CYXX,49.03,-122.36,59.0,America/Vancouver,1955-07-02,2025-04-23,1944-10-01,2022-12-11,1944-01-01,2022-01-01,3810469.172115229
South Lake Tahoe / Tahoe Valley,US,CA,,KTVL,38.8939,-119.9953,1911.0,America/Los_Angeles,2000-01-02,2025-04-23,2000-10-19,2022-04-24,2001-01-01,2021-01-01,3811049.324210014
San Diego International Airport,US,CA,72290,KSAN,32.7333,-117.1833,5.0,America/Los_Angeles,1942-01-01,2025-04-23,1939-07-01,2025-04-20,1939-01-01,2022-01-01,3811242.5856925277
Lancaster / Antelope Acres,US,CA,,KWJF,34.7411,-118.2186,717.0,America/Los_Angeles,1974-06-01,2025-04-23,1974-06-03,2022-04-24,1975-01-01,2022-01-01,3812011.4733693134
Imperial Beach,US,CA,,KNRS,32.5667,-117.1167,7.0,America/Los_Angeles,1973-01-01,2025-04-23,1973-01-12,2022-04-24,2008-01-01,2018-01-01,3813235.855064757
Susanville / Johnstonville,US,CA,72584,KSVE,40.3757,-120.5727,1265.0,America/Los_Angeles,1977-03-01,2025-04-23,2016-12-22,2022-04-25,2020-01-01,2022-01-01,3815015.026684432
Gameti,CA,NT,71165,CWYH,64.11,-117.33,221.0,America/Yellowknife,1994-03-08,2025-02-04,1995-02-27,2024-04-28,1999-01-01,2022-01-01,3817340.7589968387
Seattle / South Park,US,WA,,KBFI,47.53,-122.302,6.0,America/Los_Angeles,1943-10-01,2025-04-23,1943-10-02,2022-04-24,1944-01-01,2022-01-01,3817513.081585501
Seattle-Tacoma Airport,US,WA,72793,KSEA,47.45,-122.3167,131.0,America/Los_Angeles,1948-01-01,2025-04-23,1948-01-01,2025-04-20,1948-01-01,2022-01-01,3819393.8173190705
Mount Wilson,US,CA,72289,KMWS,34.2333,-118.0667,1739.0,America/Los_Angeles,1950-01-01,2025-03-18,2010-03-23,2015-05-12,,,3820306.600525906
Quesnel Airport,CA,BC,71103,CYQZ,53.0333,-122.5167,545.0,America/Vancouver,1955-07-02,2025-04-23,1977-07-01,2023-10-06,1977-01-01,2022-01-01,3821898.101578147
Bellingham / Marietta-Alderwood,US,WA,,KBLI,48.7927,-122.5375,52.0,America/Los_Angeles,1948-01-01,2025-04-23,1948-01-02,2022-04-24,1948-01-01,2022-01-01,3824827.291451696
Santa Ana / Paularino,US,CA,,KSNA,33.6757,-117.8682,17.0,America/Los_Angeles,1940-06-17,2025-04-23,1942-10-06,2022-04-24,1943-01-01,2021-01-01,3827403.9174001627
Pemberton Airport CS,CA,BC,71777,CWGP,50.31,-122.73,204.0,America/Vancouver,1995-04-23,2025-02-05,1984-04-10,2024-04-28,1984-01-01,2022-01-01,3832078.712341138
Pitt Meadows CS,CA,BC,71775,CWMM,49.21,-122.69,5.0,America/Vancouver,1995-04-23,2025-04-23,1993-10-01,2024-04-28,1993-01-01,2022-01-01,3833477.9285062263
Puerto Carreno / A. Guauquea,CO,VIC,80139,SKPC,6.1667,-67.5,55.0,America/Bogota,1979-04-09,2025-04-23,1968-03-14,2025-04-20,1969-01-01,2021-01-01,3833958.6982505415
Tacoma / McChord Air Force Base,US,WA,74206,KTCM,47.15,-122.4833,98.0,America/Los_Angeles,1940-07-22,2025-04-23,1940-07-23,2022-04-25,1940-01-01,2022-01-01,3835022.6383794914
Prince George,CA,BC,71896,CYXS,53.88,-122.68,691.0,America/Vancouver,1955-07-02,2025-04-23,1957-01-01,2025-04-20,1949-01-01,2022-01-01,3838402.3578651086
Fort Lewis / Gray U. S. Army Airfield,US,WA,74207,KGRF,47.1167,-122.55,92.0,America/Los_Angeles,1939-04-01,2025-04-23,1939-04-02,2022-04-25,1939-01-01,2022-01-01,3840410.148421815
White Rock Campbell Scientific,CA,BC,71785,CWWK,49.02,-122.78,13.0,America/Vancouver,1995-04-23,2025-04-23,1929-01-01,2024-04-28,1929-01-01,2022-01-01,3841109.4034892838
Long Beach Airport,US,CA,72297,KLGB,33.8167,-118.15,17.0,America/Los_Angeles,1943-01-01,2025-04-23,1943-01-01,2025-04-21,1943-01-01,2022-01-01,3845245.5219177874
Mabaruma,GY,BW,81100,SYMB,8.2,-59.7833,50.0,America/Guyana,1973-01-02,2025-04-22,,,2016-01-01,2021-01-01,3847127.138897084
Burbank-Glendale-Pasadena,US,CA,72288,KBUR,34.2,-118.3667,236.0,America/Los_Angeles,1943-06-01,2025-04-23,1943-06-02,2025-04-20,1943-01-01,2022-01-01,3847217.8605860607
Los Angeles / Jefferson,US,CA,,KCQT,34.0167,-118.2833,56.0,America/Los_Angeles,2000-01-01,2024-05-20,2000-01-01,2022-04-24,2000-01-01,2021-01-01,3847954.699574974
Whistler / Alta Lake,CA,BC,,CWAE,50.1289,-122.9548,658.0,America/Vancouver,1988-03-18,2025-04-14,2011-12-10,2024-04-28,2012-01-01,2022-01-01,3848570.397248562
Sandberg,US,CA,72383,KSDB,34.75,-118.7167,1379.0,America/Los_Angeles,1973-01-01,2025-04-23,1934-07-01,2025-04-20,1934-01-01,2022-01-01,3853918.291510232
Bakersfield Meadows Field,US,CA,72384,KBFL,35.4333,-119.05,155.0,America/Los_Angeles,1941-10-01,2025-04-23,1937-10-01,2025-04-20,1937-01-01,2022-01-01,3854530.0005150554
Delta Burns Bog,CA,BC,71042,CVWC,49.13,-123.0,3.0,America/Vancouver,2001-09-16,2025-02-03,2011-01-25,2024-04-28,2011-01-01,2022-01-01,3856443.8410359705
Van Nuys / Raymer,US,CA,,KVNY,34.2098,-118.49,245.0,America/Los_Angeles,1942-12-11,2025-04-23,1942-12-12,2022-04-24,1943-01-01,2022-01-01,3857280.096901574
Blue Canyon,US,CA,,KBLU,39.275,-120.7097,1611.0,America/Los_Angeles,1973-01-01,2025-04-23,1973-01-02,2022-04-24,1981-01-01,2022-01-01,3858460.8081983095
Fresno Air Terminal,US,CA,72389,KFAT,36.7833,-119.7167,101.0,America/Los_Angeles,1941-12-04,2025-04-23,1941-12-04,2025-04-21,1942-01-01,2022-01-01,3859359.002381369
Los Angeles Airport,US,CA,72295,KLAX,33.9333,-118.3833,38.0,America/Los_Angeles,1944-01-01,2025-04-23,1944-01-01,2025-04-21,1944-01-01,2022-01-01,3860045.5977543215
Saturna Island CS,CA,BC,71473,CWEZ,48.78,-123.04,24.0,America/Vancouver,1980-09-14,2025-04-23,1980-05-02,2024-04-28,1980-01-01,2022-01-01,3861659.7726907386
Torrance / Walteria,US,CA,,KTOA,33.8034,-118.3396,31.0,America/Los_Angeles,1944-06-01,2025-04-22,1944-06-02,1944-08-29,1944-01-01,1944-01-01,3861950.733601357
Klamath Falls / Falcon Heights,US,OR,,KLMT,42.1561,-121.7332,1248.0,America/Los_Angeles,1959-09-01,2025-04-23,1959-09-02,2022-04-24,1959-01-01,2022-01-01,3863474.088320279
Vancouver Harbour CS,CA,BC,71201,CWHC,49.3,-123.12,2.0,America/Vancouver,1980-03-01,2025-02-04,1925-11-01,2024-04-28,1925-01-01,2022-01-01,3864144.557731429
Portland International  Airport,US,OR,72698,KPDX,45.5833,-122.6,8.0,America/Los_Angeles,1936-05-01,2025-04-23,1936-05-01,2025-04-21,1936-01-01,2022-01-01,3864553.581514519
Squamish Airport,CA,BC,71207,CWSK,49.78,-123.16,54.0,America/Vancouver,1982-06-24,2025-04-23,1982-05-18,2025-04-19,1982-01-01,2022-01-01,3864577.7954544933
Saturna Capmon CS,CA,BC,71914,CVTS,48.78,-123.13,178.0,America/Vancouver,1977-07-01,2025-02-05,1977-10-17,2024-04-28,1991-01-01,2022-01-01,3868240.623314229
Olympia Airport,US,WA,72792,KOLM,46.9667,-122.9,63.0,America/Los_Angeles,1973-01-01,2025-04-23,1941-05-13,2025-04-20,1941-01-01,2022-01-01,3868517.2738998407
West Vancouver,CA,BC,71784,CWWA,49.35,-123.19,170.0,America/Vancouver,1995-04-23,2025-04-23,1992-12-01,2024-04-28,1992-01-01,2022-01-01,3868924.7276140894
Vancouver International Airport,CA,BC,71892,CYVR,49.19,-123.18,4.0,America/Vancouver,1955-07-02,2025-04-23,1957-01-06,2025-04-20,1949-01-01,2022-01-01,3869147.261756008
Fresno / West Park,US,CA,,KFCH,36.7321,-119.8203,85.0,America/Los_Angeles,1995-04-23,2024-09-19,1995-05-06,2022-03-05,,,3869948.6287751035
Sambaa K'e,CA,NT,71166,CWTE,60.44,-121.24,498.0,America/Yellowknife,1994-03-08,2025-02-04,1994-05-28,2024-04-28,1995-01-01,2022-01-01,3872111.393005497
Howe Sound - Pam Rocks,CA,BC,71211,CWAS,49.49,-123.3,7.0,America/Vancouver,1996-11-01,2025-02-04,1991-07-01,2024-04-28,1991-01-01,2022-01-01,3876089.5700386963
Sandheads CS,CA,BC,71209,CWVF,49.11,-123.3,11.0,America/Vancouver,2001-07-05,2025-04-23,1991-07-01,2024-04-28,1991-01-01,2022-01-01,3878367.0108700604
Discovery Island,CA,BC,71031,CWDR,48.42,-123.23,19.0,America/Vancouver,1992-10-08,2025-02-03,1992-10-25,2024-04-28,1997-01-01,2022-01-01,3878374.9603462
Mackenzie Airport,CA,BC,71944,CYZY,55.31,-123.14,694.0,America/Vancouver,1977-07-01,2025-04-23,1971-02-08,2022-12-11,1971-01-01,2022-01-01,3881379.371993541
Manizales / La Nubia,CO,CAL,80149,SKMZ,5.0333,-75.4667,2080.0,America/Bogota,1968-01-04,2025-04-23,,,,,3882673.8588599414
Victoria University CS,CA,BC,71783,CWYJ,48.46,-123.3,60.0,America/Vancouver,1995-04-23,2025-04-23,1992-12-01,2025-04-20,1992-01-01,2022-01-01,3883190.934434787
Shelton / Hidden Haven Mobile Home Park,US,WA,,KSHN,47.2336,-123.1476,83.0,America/Los_Angeles,1999-01-01,2025-04-23,1999-01-01,2022-04-24,2002-01-01,2022-01-01,3884024.5382305733
Victoria Gonzales CS,CA,BC,71200,CWLM,48.41,-123.32,61.0,America/Vancouver,1955-07-02,2025-04-23,1898-08-10,2025-04-19,1898-01-01,2022-01-01,3885082.3596334807
Avalon Catalina Airport,US,CA,72292,KAVX,33.4,-118.4167,488.0,America/Los_Angeles,1943-06-12,2025-04-23,1943-06-13,2025-04-20,1943-01-01,2022-01-01,3886224.1167646646
Victoria / Esquimalt,CA,BC,71961,CYWH,48.4167,-123.3833,0.0,America/Vancouver,1992-10-08,2025-04-23,2020-01-14,2022-04-12,,,3889683.4773774515
Victoria International Airport,CA,BC,71799,CYYJ,48.65,-123.43,20.0,America/Vancouver,1955-07-02,2025-04-23,1940-07-22,2022-12-11,1940-01-01,2022-01-01,3891185.867556992
Port Angeles Coast Guard Air Station,US,WA,74201,KNOW,48.1333,-123.4,5.0,America/Los_Angeles,1973-01-01,2025-04-23,2015-09-09,2022-04-25,2017-01-01,2022-01-01,3893452.0062143584
Lemoore Naval Air Station,US,CA,74702,KNLC,36.3333,-119.95,71.0,America/Los_Angeles,1961-07-01,2025-04-23,1961-07-01,2025-04-20,1961-01-01,2022-01-01,3895716.046690109
Puerto Ayacucho,VE,Z,80457,SVPA,5.6,-67.5,73.0,America/Caracas,1973-02-12,2021-09-12,1973-05-11,2021-07-27,1958-01-01,2021-01-01,3895949.7131876564
